Name,Skill Requirement,Description
Leading Presence,Influence,"(Rank 1) While you can see and hear each other, allies in short distance of you gain the following effects:- You gain +1 boon on your Initiative roll.- You gain +1 boon on Spirit rolls against being frightened or losing morale.(Rank 2) While you can see and hear each other, allies in short distance of you gain the following effects:- You gain +1 Resist (ability bonus).- You deal +2 damage with any attack.(Rank 3) You also gain the effects of your Leading Presence ability and it extends to all allies in long distance of you."
Empath,Insight,"(Rank 1) When you roll Insight about the emotional state, personality, or life circumstances of another intelligent creature, you can re-roll the test once per scene.(Rank 2) You can use your Quick Action during your turn to roll Spirit + Insight vs. Resist against a creature you can see.On a success, you use your insights into the creature’s emotional state, personality, or life circumstances to predict their behaviour. You briefly gain +1 boon on any rolls targeting them and they suffer +1 bane on any roll targeting you. On a success, you can also roll for this ability again on your following turns without using your Quick Action. On a failure, the target is immune against this ability for the rest of the scene.(Rank 3) When you roll Insight about the emotional state, personality, or life circumstances of another intelligent creature, you gain +1 boon on the roll."
Intuitive Appraisal,Insight,"(Rank 1) After spending a delving turn (some minutes) with an object, you can estimate its Quality and material worth in coin (not including magical properties). (Rank 2) You can use your Quick Action to appraise the state of a humanoid’s equipment or a non-humanoid’s natural body structure that you can see and gain information about how to defeat them efficiently.Roll Spirit/Mind + Insight vs. a Difficulty determined by the target’s Tier (Tier 0: TN 4, Tier 1: TN 6, Tier 2: TN 8, Tier 3: TN 10, Tier 4: TN 12, Tier 5: TN 14, Tier 6: TN 16). On a success, you gain +1 boon on your next attack against them and ignore 1/2 AV on a hit. You can succeed on this ability only once per creature.(Rank 3) You gain the following abilities:- When you estimate an item’s Quality and worth, you also determine if the item is magical, it’s general magical nature (offensive, protective, enhancing, summoning, etc.) and can deduce the total worth in coin including magical properties.- When you successfully use your Quick Action for Intuitive Appraisal against a creature during combat, their equipment or sellable body parts aren’t as damaged after defeating them, as they normally would be.In the case of equipment, it isn’t damaged after the fight. In the case of valuable body parts, you or your allies gain +1 boon on the roll to harvest them."
Piercing Look,Insight,"(Rank 1) When you roll Insight to know if a creature is lying, how they will act, or why they act how they do, you can re-roll the test once per scene.(Rank 2) As a Quick Action on your turn, you can focus your attention on one creature you can see in long range. Roll Spirit + Insight vs. Resist. On a success, your rolls against the creature gain +1 boon and any rolls the creature makes against you suffer +1 bane. This effect lasts for a short duration. You can succeed on this ability once per scene.(Rank 3) When you use your Piercing Look ability to focus your attention on one creature you can see and the target dies or falls unconscious, you can use your ability again on your next turn against another target."
Sense of Deduction,Insight,"(Rank 1) When you roll Insight to investigate a chain of events, the responsible entity of an event, the time an event took place, or who might know more about an event, you can re-roll the test once per scene.(Rank 2) While investigating a chain of events, the responsible entity of an event, the time an event took place, or who might know more about an event, you can choose to make an assessment about that topic. The GM will tell you if your assessment is generally true or false without any more nuance. You can use this ability once per scene.(Rank 3) When you use your Sense of Deduction ability to make an assessment, you can re-use this ability multiple times per scene until you make a false assessment."
Channel Superstition,Lore,"(Rank 1) When you use the Demoralize Action and roll a strong or critical success, the target is frightened of you for a short duration. They can roll Spirit + Fortitude at the end of each of their turns to end the effect early.(Rank 2) When you use the Demoralize Action, you can target any number of enemies in short range.(Rank 3) When a creature frightened of you rolls Spirit + Fortitude at the end of their turn to end the effect, increase the difficulty of the roll by one step."
Consult the Myths,Lore,"(Rank 1) When you roll Lore about a magical or supernatural place or creature, you can re-roll the test once per scene.(Rank 2) When you roll Lore about a magical or supernatural place or creature, you gain +1 boon on the roll.(Rank 3) You can use your Action or Quick Action during your turn to roll Spirit + Lore vs. Resist against a supernatural creature.On a success, you repeatedly chant an ancient phrase, that dazes them for a short duration. They can roll Spirit + Fortitude at the end of their turns to end the effect early. Any creature you failed this roll against or that succeeded on their roll against this ability is immune against it for the rest of the scene."
Divine Scholar,Lore,"You can’t choose this talent if you already learned Arcana or Mysticism and chose Devotion for your tradition. You also lose access to this talent’s benefits, if you ever do so later.(Rank 1) Through studies of different traditions and cults, you expand you horizon of mystical knowledge. Choose one mystic tradition and learn one spell of rank 0 from it.If you already learned Mysticism, you can now also choose spells from this tradition like any other of your traditions.If you weren’t able to cast spells before, use your Lore instead of Mysticism for calculating your Focus and any rolls made to cast the spell using the rules for mystic spells.(Rank 2) +2 Focus. Choose one more tradition (or the same) and learn one spell of rank 1 or lower from it.(Rank 3) +2 Focus. Choose one more tradition (or one of the same) and learn one spell of rank 2 or lower from it."
Identify Artifact,Lore,"(Rank 1) You gain the following abilities:- You can sense if an item you hold has magical properties as a Delving activity.- After spending an Exploration turn with an object, roll Spirit + Lore vs. 5 + the item’s Quality (the GM doesn’t have to tell the Difficulty to the player, only the results SL of the roll) to identify its magical properties.Weak. The GM tells you the general nature of the item‘s magical properties, such as dealing damage, something elemental, a spell effect, or something else.Strong. The GM tells you one specific magical effect of the item.Critical. The GM tells you everything about the magical effects of the item, even if it was cursed.You can use this ability once per item. If you fail, you need to consult other experts.(Rank 2) You gain the following abilities:- You can sense if an item you hold has magical properties using an Action instead.- You can use your Identify Artifact ability as a Delving turn instead.(Rank 3) You gain the following abilities:- You automatically sense if any object or structure has magical properties within close range around you.- You can sense the general nature of an item‘s magical properties you are holding using an Action.- When you use your Identify Artifact ability and succeed, the GM tells you everything about the magical effects of the item, even if it was cursed. Even on a failure, you still find out one specific magical effect of the item."
Mage Hunter,Lore,"(Rank 1) When an enemy has to roll for Spell Concentration from damage you have dealt to them, they suffer +1 bane on the roll.(Rank 2) When an enemy in your melee range is casting a spell, you can use a Quick Action to make an Opportunity Attack against them.(Rank 3) When an enemy targets you with a spell, you can use a Quick Action to add your Lore to your Defenses."
Magical Sense,Lore,"gain boons against magic and intuit resistances, weaknesses and other abilities from creatures."
Armor of the Faithful,Mysticism,"(Rank 1) While you wear no armor, add 1 + your Mysticism to your AV (armor bonus).(Rank 2) While you wear no armor, you can roll Spirit + Mysticism for weapon attacks.(Rank 3) While you wear no armor, you are immune to being feared or confused."
Communal Practices,Mysticism,"(Rank 1) When you cast a spell that affects multiple targets, you can exclude any number of targets from the spell’s effect.(Rank 2) When you cast a singular mystic spell that targets a single creature, you can choose a second target to also be affected once per scene.(Rank 3) When you use your Communal Practices Rank 2 ability with a singular mystic spell, you can choose up to three additional targets instead."
Divine Favor,Mysticism,you can pray to your god or other spiritual patron to bestow blessings on you and your allies. you gain a number of Favor equal to your Mysticism per day to spend on such blessings.
Divine Rites,Mysticism,"(Rank 1) During a short break, you can officiate a divine rite to commune with the spiritual energies of your tradition to regain half your max. Focus. You can use this ability a number of times per day equal to your Mysticism.(Rank 2) When you roll a critical success on any mystic spell of rank 1 or higher, you only spend half of its Focus cost (min. 1).(Rank 3) During a short break and if you have less Focus remaining than half your max. Focus, you regain Focus up to half your max. Focus. If you also use your Divine Rites ability during this short break, you instead regain all of your Focus."
Divine Sense,Mysticism,"(Rank 1) As an Action, you can focus your senses on supernatural beings around you. You briefly know the location of any spirit or undead creature within medium range unless they are behind total cover. You also know the creatures‘ types and if they are generally of the same, lower, or higher level as you (you don’t sense specific levels) but nothing more about their identities. You also sense the supernatural aura of any hallowed or cursed object or place within range.You can use this ability a number of times per day equal to 1/2 your Spirit.(Rank 2) While you are conscious, you are immune against being charmed, frightened, or poisoned.(Rank 3) While you are conscious, your allies in short range of you are also immune against being charmed, frightened, or poisoned."
Elemental Adept,Mysticism,"(Rank 1) When you hit with a mystic spell that deals damage, you can choose to ignore any resistances against it‘s damage type once between turns.(Rank 2) When you use your Elemental Adept ability, you also treat damage immunities against your spell‘s damage type as resistances instead.(Rank 3) When you use your Elemental Adept ability, you can choose to instead remove all of the target‘s resistances and reduce their damage immunities to resistances for a short duration. You can choose this option only once per scene."
Master of Principles,Mysticism,"(Rank 1) When you cast a mystic rank 0 spell, you can choose to re-roll the test once per scene.(Rank 2) You gain the following abilities:- When you hit with a mystic rank 0 spell that deals damage, add your Mysticism to the damage (ability bonus).- Instead of attacking for an Opportunity Attack, you can choose to cast a mystic rank 0 spell against the target.(Rank 3) When you cast a mystic rank 0 spell on your turn, you can use a Quick Action to cast the same spell again against any target but suffer +1 bane on the roll."
Mystic Champion,Mysticism,"(Rank 1) You can infuse one of your spells into a weapon attack. Choose any of your mystic rank 0 non-ritual spells that target the Defense of one or more enemies within your weapon‘s range.Roll your normal weapon attack. Treat the roll as an attack and as casting the chosen spell. With this attack, you can’t use any other abilities or effects that apply to casting a spell.On a hit, apply the spell‘s effects according to the SL of your attack, in addition to your normal weapon attack. You add its spell damage (without the spell’s base damage) to your attack’s damage and the attack’s damage type becomes that of the spell. Also, spend the spell‘s Focus cost, but increase it by 2.(Rank 2) You can also use mystic rank 1 non-ritual spells that target the Defense of one or more enemies within your weapon‘s range with your Spellblade ability.(Rank 3) You can also use mystic rank 2 non-ritual spells that target the Defense of one or more enemies within your weapon‘s range with your Spellblade ability."
Mystical Spell Knowledge,Mysticism,You can take higher ranks for this talent without having taken it’s lower ranks provided your Mysticism also has the required rank.(Rank 1) +2 Focus. Learn two rank 0 or 1 spells for any of your traditions. You can choose this Talent multiple times.(Rank 2) +2 Focus. Learn two rank 2 or lower spells for any of your traditions. You can choose this Talent multiple times.(Rank 3) +2 Focus. Learn two rank 3 or lower spells for any of your traditions. You can choose this Talent multiple times.(Rank 4) +2 Focus. Learn two rank 4 or lower spells for any of your traditions. You can choose this Talent multiple times.
Pact of Devotion,Mysticism,"Requires you to have picked Devotion when you learned Mysticism.(Rank 1) You swear a divine oath to your god or spirit patron from which you gain your mystical magic. When choosing this talent, you must always uphold the tenents associate with your chosen mystic tradition (as described in the Magic section). Breaking your oath means losing access to the pact’s abilities and you must atone yourself to regain them (see the Magic section on details about breaking an oath). Choose one of the following pact types and gain it’s abilities:Glory. When you cast a spell of your pact‘s tradition or attack with a weapon and you hadn’t used the same option during your last turn, you either deal +2 damage or recover 2 HP (choose one) with it. This ability can trigger multiple turns in a row, provided you switch between casting a spell and attacking with a weapon each turn.Piety. You gain +2 Focus per Mysticism rank.Protection. You gain +2 HP per Mysticism rank.Vengeance. As a Quick Action, you can speak a vow of enmity against any creature within short distance. You gain +1 boon on attacks against that target for a short duration. You can use this ability once per scene.(Rank 2) You gain additional abilities based on your pact type:Glory. When you use your pact’s Glory ability, your choice also affects your allies in close range. If you choose damage, they gain the same damage bonus on their next attack against your target. If you choose healing, they instantly recover the same amount of HP you do from this ability.Piety. You can use your Quick Action to send out an aura of piety affecting you and allies within short range. Each creature affected briefly gains resistance against damage from spells. You can use this ability in reaction to a spell being cast.Protection. Channeling your pact‘s magic, you can restore HP up to 5 x your Mysticism. Using an Action, you can restore any amount of HP to a creature you are touching, up to the total amount available for this ability. The total amount of HP available is reduced each time you use this ability until it is depleted.You can spend 5 HP from this ability to cure any poison or natural disease affecting the target.You can also spend 10 HP from this ability to instantly heal one Wound or Fatigue from a create. Each creature can only benefit from this option once per day.You regain the maximum amount of HP for this ability after a night‘s rest.Vengeance. When you hit with a weapon, you can spend Focus up to your Mysticism. For each Focus spend this way, deal +2 damage (ability bonus). You can use this ability once per turn and up to a number of times equal to your Mysticism per scene.(Rank 3) You gain additional abilities based on your pact type:Glory. You can use your Quick Action to grant one ally within short range a free Opportunity Attack against a valid target of your choice. They suffer +1 bane on this attack. You can also choose for them to either deal +2 damage or recover 2 HP with this attack.Piety. When you cast a spell of your pact’s tradition, you can choose to empower it with a divine miracle. The spell gains the following effects:- Add the spell damage or spell healing an additional time to the total damage or healing respectively.- The spell’s range (max. extreme) and duration (max. long) is increased by one step.You can use this ability once per scene and up to a number of times equal to your Mysticism per day.Protection. You can use your pact‘s ability to channel healing as a Quick Action on your turn instead. When you use it as an Action, you can choose any ally within medium range instead.Vengeance. When you speak your vow of enmity and you hit your target with a strong or critical success, they are also briefly stunned. They can only suffer this condition this way once per scene. When the target of your vow dies or falls unconscious, you can use your Quick Action on the same or one of your following turns to repeat the vow of enmity against another creature within short range."
Shape Changer,Mysticism,"(Rank 1) When you cast a spell that transforms your physical form (for example, Beast Form), you gain the following effects:- You gain 5 temporary HP. These will be applied on top of any amount of temporary HP you potentially get from the spell’s effect.- Add +2 damage to melee attacks using natural weapons (ability bonus).(Rank 2) When you cast a spell that changes your physical form, you also gain the following effects:- Add +2 AV to your natural armor (treat this as part of the armor bonus).- When you attack with one of your natural weapons on your turn, you can use your Quick Action to make another attack with a natural weapon but suffer +1 bane on the roll.(Rank 3) When you cast a spell that changes your physical form, you gain the following effects:- You gain resistance against physical damage.- Your gain resistance against fire, frost, lightning, or blast damage (choose one when casting the spell). You can also choose to deal damage of the chosen type with your natural weapon attacks."
Animal Companion,Nature,"(Rank 1) You can control an animal companion of a Tier equal or lower to your Nature. When you have to roll any test for your animal companion while you can see and hear it, you can use your Nature instead of the required skill for the roll.Choose any type of animal and apply it’s traits to the base statistics. Use the rules in the Mounts &amp; Companions section for how to control your animal companion.(Rank 2) Choose one:- You can instead control two animal companions that are both of a Tier equal to or lower to your Nature - 1. Choose the same or different animal traits for them.- Your animal companion can learn two Combat Arts, appropriate for its types of attacks (ignoring the normal types of weapons the Combat Arts can be used with). It can use these Combat Arts while under your control. The normal rules for how and when to use Combat Arts also apply to your companion.(Rank 3) Choose one:- When you or one of your animal companions under your control hits a target, the other ones gain +1 boon on attacks against that same target during their turn this round.- Your animal companions add your Nature to their total damage (ability bonus)."
Beast Lore,Nature,"(Rank 1) When you roll Nature to gain insights into an animal’s or other natural beast’s attitude, behaviors, or characteristics, you can re-roll the test once per scene.(Rank 2) You gain the following abilities:- When you roll Nature to gain insights into an animal’s or other natural beast’s attitude, behaviors, or characteristics, you gain +1 boon on the roll.- You can communicate simple ideas with an animal or other natural beast, that is not aggressive towards you, by rolling Spirit + Nature (the GM decides on the difficulty of your communication attempt). This can include asking them to do a task for you or gaining information about the creature‘s natural environment.(Rank 3) You can use your Action or Quick Action during your turn to roll Spirit + Nature vs. Resist against an animal or other natural beast.On a success, you charm them for a short duration. They can roll Mind + Insight at the end of their turns to end the effect early. The effect also ends early if they take damage from any source. Any creature you failed this roll against or that succeeded on their roll against this ability is immune against it for the rest of the scene."
Expert Rider,Nature,"(Rank 1) You gain the following abilities:- When you have to roll to calm or not fall from your mount, you gain +1 boon on the roll.- Melee attack while mounted against unmounted enemies gain +1 boon.(Rank 2) You gain the following abilities:- You impose +1 bane on any melee attack against your mount.- When you use the Charge Combat Art while mounted and hit your target, increase the SL of the attack by one step (max. critical success).(Rank 3) You gain the following abilities:- You automatically succeed on rolls to calm your mount. - Add your Nature to your mounts AV."
Field Medic,Nature,"(Rank 1) You gain the following abilities:- When you roll Spirit + Nature to save a creature from dying, gain +1 boon on the roll.- You can quickly attempt to treat a wounded creature during one delving turn. Make a Supply Check for materials and roll Spirit + Nature. On a success, one Injury the creature is suffering is treated.(Rank 2) You gain the following abilities:- When you roll Spirit + Nature to save a creature from dying, add +1 to their die result regardless of the result of your roll.- When you roll a Supply Check for materials while treating Injuries, roll it twice and take the higher result.(Rank 3) You gain the following abilities:- When you stop a creature from dying, they regain their consciousness and restore 2 x your Nature as HP."
Knowledgeable Wanderer,Nature,"(Rank 1) +2 HP. You don‘t suffer +1 bane on rolls during travel for taking on multiple roles.(Rank 2) +2 HP. You gain +1 boon on your travel rolls to navigate. Treat your blunders for these rolls as normal failures.(Rank 3) +2 HP. You gain the following abilities:- When you succeed on any of your travel rolls, also mark one travel progress (TODO)."
Plant Lore,Nature,"(Rank 1) When you roll Nature to gain information about a plant’s, herb’s, or plant creature’s behaviors, characteristics, or properties, you can re-roll the test once per scene.(Rank 2) You gain the following abilities:- When you roll Nature to gain information about a plant’s, herb’s, or plant creature’s behaviors, characteristics, or properties, you gain +1 boon on the roll.- When you forage materials during travel, you gain +1 unit of them.(Rank 3) XXX"
Poison Maker,Nature,"(Rank 1) You can spend one exploration turn to turn natural ingredients into poison. Choose one of the following poisons:- Weapon Poison (weak)- …Make a Supply check for your materials and roll Mind + Nature. On a success, you gain the chosen poison. (Rank 2) When making poison, you can also choose one of the following poisons:- Weapon Poison (decent)- …Make a Supply check for your materials and roll a hard Mind + Nature test. On a success, you gain the chosen poison. (Rank 3) When making poison, you can also choose one of the following poisons:- Weapon Poison (strong)- …Make a Supply check for your materials and roll a very hard Mind + Nature test. On a success, you gain the chosen poison."
Blind Senses,Perception,"(Rank 1) While you are blinded but not deafened, you gain the following abilities:- Your rolls requiring sight toward targets close to you only suffer +1 bane from you being blinded.- Attacks against you from creatures close to you don’t gain +1 boon from you being blinded.- You can use Quick Actions between your turns toward creatures you can‘t see in close range.(Rank 2) You can use your Action or Quick Action on your turn to attempt to sense all creatures around you, even if you can‘t see them. Roll Spirit + Perception vs. Dodge. If you succeed, you are aware of a creature‘s location and movement and are not considered blinded against them while they remain in short distance from you.(Rank 3) When you use your Blind Senses ability, you extend your awareness to all creatures in medium distance."
Danger Sense,Perception,"(Rank 1) When you roll for Initiative, you can re-roll the test.(Rank 2) When enemies attempt to surprise you at the start of combat or you are attacked by a trap, add your Perception to your Resist against the enemies’ surprise rolls.(Rank 3) You gain the following abilities:- While you can see and hear each other, allies in short distance of you can use your Resist against enemies attempting to surprise them at the start of combat or when they are attacked by a trap.- After rolling for Initiative, you can choose to ignore results below 8, taking 8 as the result instead."
Dungeon Delver,Perception,"(Rank 1) When you encounter some kind of trap or other mechanical or magical mechanism, you can take a minute to roll Mind + Perception.Weak. You understand the basic effects of activating the mechanism (pit trap, wall blades, ground spikes, …). You gain +1 boon on rolls to avoid activating the mechanism.Strong. You have a more detailed understanding of how the mechanism works. You also gain +1 boon on rolls to disable it.Critical. You fully understand how the mechanism works and what its effects are. Allies close to you gain +1 boon to avoid the mechanism. You also gain resistance against damage from this mechanism‘s effects.You can use this ability once per mechanism.(Rank 2) When you roll dice as part of determining some kind of item gained from treasure, roll twice and pick either result.(Rank 3) When you roll dice to determine the amount of coin you gain from treasure, roll an extra die and choose the highest results from among them, equal to the original amount of dice."
Eagle Eye,Perception,"(Rank 1) You gain the following abilities:- You can use the Spot Action as a Quick Action on your turn.- When you roll Perception to see anything hidden, obscured, or invisible, you can re-roll the test once per scene.(Rank 2) Attacking a target behind cover at range doesn‘t impose +1 bane on your attack from their cover.(Rank 3) Your Perception rolls don’t suffer banes from perceiving small details at far distances. You can make out any detail you would see at close range, even up to very far range."
Identify Weakness,Perception,"(Rank 1) You can use your Quick Action on your turn to identify a weak spot of a creature or object you can see in long range. Roll Spirit + Perception vs. Resist.On a success, add your Perception to the damage for your attacks against the target and ignore their resistances against your attack’s damage type (doesn’t affect immunities).This effect lasts for a short duration. You can succeed on the roll of this ability once per scene.(Rank 2) When you use your Identify Weakness ability to focus your attention on one creature you can see and the target dies or falls unconscious, you can use your ability again on your next turn against another target.(Rank 3) When you hit the target of your Identify Weakness ability with an attack, you can choose to have them be vulnerable against your attack’s damage type, unless they have a resistance or immunity against it. After the attack, roll Spirit + Perception vs. Resist again. On a failure, your Identify Weakness ability ends."
Assassination,Stealth,"(Rank 1) When you hit an enemy that is unaware of you with an attack for the first time during a scene, treat the SL of your attack against them as one step higher (max. critical success).(Rank 2) You gain the following abilities:- When you attack an enemy that hasn’t yet taken a turn during combat for the first time during a scene, you gain +1 boon on the attack. - Missing an attack from stealth doesn‘t reveal your position to the target that is unaware of you.(Rank 3) When you hit an enemy that is unaware of you with an attack for the first time during that scene, add your Stealth to your weapon damage against them."
Devious Tactics,Stealth,"(Rank 1) You can also use the Distract Action as a Quick Action on your turn. When doing so, you can choose any suitable object or creature to be the source of the distraction and not yourself.(Rank 2) When you use the Distract Action, you can target any number of close enemies instead.(Rank 3) You can use your Quick Action against a distracted creature to further exploit their distraction. When you do so, they are marked (equal to your Stealth)."
Hidden Strike,Stealth,"(Rank 1) While you have no weapon drawn, you can attack with one light melee weapon you have hidden on your person as a Quick Action on your turn once per scene.(Rank 2) When you attack with your Hidden Strike ability, you gain +1 boon on the attack.(Rank 3) When you hit with your Hidden Strike ability, the enemy is briefly stunned."
Leading the Way,Stealth,"(Rank 1) When you and your allies attempt to sneak or surprise your enemies, all allies that can see you within close range of you can use the result of your roll instead of their own.(Rank 2) Your Leading the Way ability extends to allies who can see you within short distance of you.(Rank 3) Your Leading the Way ability extends to all allies that can see you within medium distance of you."
Roguish Wits,Stealth,"(Rank 1) When you roll Stealth to convince somebody of a falsehood or make them doubt the truth of what they perceive, you can re-roll the test once per scene.(Rank 2) When you are targeted by another creature you can see and they roll against one of your Defenses, you can use your Quick Action to add your Stealth to that Defense against their roll.(Rank 3) XXX"
Sleight of Hand,Stealth,"(Rank 1) When you roll Stealth to pickpocket an item, palm an object, or plant a false item, you can re-roll the test once per scene.(Rank 2) When you roll Agility + Stealth vs. Resist to pickpocket an item, palm an object, or plant a false item, the target doesn‘t notice your sleight of hand, even if you fail the roll. You can also use this against enemies in melee range during combat.(Rank 3) XXX"
I Know A Guy,Streetwise,"(Rank 1) During downtime in a settlement you have previously used the Carouse activity in, you can forgo using Buy Item, Sell Item, or Find Contact. Instead, roll Spirit + Streetwise. On a success, you know somebody related to what you are looking for but the results are more unpredictable.Weak. Your contact holds a grudge against you from your last interaction. They can get you what you are looking for but have a major request in return.Strong. Your contact can get you what you are looking for but with a small request in return.Critical. Your contact can get you what you are looking for without any additional requests in return.Can be used once between adventures.(Rank 2) XXX(Rank 3) XXX"
Jack of All Trades,Streetwise,"(Rank 1) You can choose to add your Streetwise to any roll instead of another skill (except for magic skills) once per scene.(Rank 2) After you have used your Jack of All Trades ability to replace a skill and succeeded on the roll, you can continue to add your Streetwise to rolls instead of that same skill for the rest of the scene.(Rank 3) After you have used your Jack of All Trades ability to replace a skill and succeeded on the roll, you can use it again during the same scene for another skill."
Swashbuckler,Streetwise,"(Rank 1) Gain +2 HP. When you hit an enemy with a light melee weapon, this turn that enemy can’t use Quick Actions or other abilities outside of their own turn against you.(Rank 2) Gain +2 HP. If you hit a creature with a light melee weapon, you gain +1 boon on the next attack with a light melee weapon against them during the same turn.(Rank 3) Gain +2 HP. After you attack a creature with a light melee weapon, you can choose to immediately spend 1 Movement without provoking Opportunity Attacks. You can use this ability once between your turns."
Thug Tactics,Streetwise,"(Rank 1) When you are in melee range with at least one ally and you outnumber the enemies you are in melee range with, gain +1 boon on attacks against them.(Rank 2) Your allies that you are in melee range with also gain +1 boon against outnumbered enemies you are in melee range with.(Rank 3) Outnumbered enemies suffer +1 bane on attacks against you and allies you are in melee range with."
Explorer of Nature,Survival,"(Rank 1) Choose one of the following environments: Desert, Forest, Mountain, Plains, Sea, Swamp, or Tundra.When exploring or traveling in the chosen environment, and you roll Survival or Nature related to the environment or its inhabitants, you can choose to re-roll the test once per scene.(Rank 2) Choose a second environment.You also gain the following abilities when exploring or traveling in one of your chosen environments:- If you are the navigator, reduce the amount of options you have to choose from a blunder or failure by one.- If you are the scout, reduce the Encounter Die by one step regardless of the outcome of your roll.- If you roll to gather supplies during exploration or travel and you succeed on the roll, you always gain one more unit of supply available (if multiple types of supply can be chosen, choose one).(Rank 3) Choose a third environment. You also gain the following abilities when exploring or traveling in one of your chosen environments:- XXX"
Makeshift Artisan,Survival,"(Rank 1) You can take one exploration turn to craft a makeshift weapon, simple tool, or primitive ammo from natural materials you have available. Choose between any light weapon, piece of gear, or unit of ammo (arrows, bolts, or throwing stones) of Quality 1 or 2. Spend 1 use of materials and roll Agility + Survival. On a success, you create a Quality 1 version of your chosen weapon, gear, or ammo. The crafted item has the fragile property.(Rank 2) You gain the following abilities:- You can also craft Quality 1 versions of non-light weapons. When crafting a makeshift heavy weapon, spend 2 uses of materials instead.- On a hit with a makeshift weapon, you can choose to forcefully destroy it. When doing so, add +2 damage for each use the weapon had left (ability bonus).(Rank 3) You gain the following abilities:- You can choose to only use one delving turn to craft a makeshift item. When doing so, roll a hard Agility + Survival test instead.- Your makeshift weapons increase their weapon damage by 1 (enhancement bonus).- You makeshift ammo deals +2 damage (enhancement bonus)."
Monster Hunter,Survival,"(Rank 1) You can use a Quick Action on your turn to focus your sight on one creature that is at least one size larger than you to analyze its movements and behaviors. Roll Spirit/Mind + Survival vs. Resist. On a success, add your Survival to the damage against them.This effect lasts a short duration or until you use it again against another larger creature. (Rank 2) While you have a target with your Monster Hunter ability, you can Evade and Guard against them without spending a Quick Action.(Rank 3) While you have a target with your Monster Hunter ability and you hit them with an attack, you can choose to roll Spirit/Mind + Survival vs. Resist after the attack. On a success, they are briefly stunned. You can use this ability once per scene."
Relentless Tracker,Survival,"(Rank 1) When you roll Survival to follow tracks, identify them, or gain information from them, you can choose to re-roll the test once per scene.(Rank 2) XXX(Rank 3) XXX"
Trap Maker,Survival,"(Rank 1) You can use one exploration turn to lay a trap. Make a Supply check for your materials and roll Spirit + Survival. On a success, choose one of the following effects (or choose a fitting, individual effect):- Pit (a creature falls a short distance into the pit)- Falling Rocks (a creature takes 10 crush damage and falls prone)- Net (a creature is restrained by the net)You lay a trap with the chosen effect. It automatically activates once a creature comes into contact with it. Once activated, the target has to roll Agility + Athletics. On a failure, they suffer the trap‘s effect.(Rank 2) You gain the following abilities:- You can also use your Trap Maker ability during a delving turn. When doing so, make the Supply check twice and take the lower result.- When a creature has to roll for one of your traps, the difficulty of their roll is hard.(Rank 3) You gain the following abilities:- When a creature suffers your trap’s effect, add 2 x your Survival to the damage.- When a creature has to roll for one of your traps, the difficulty of their roll is very hard."
Wilderness Expert,Survival,"(Rank 1) While carrying Cook‘s Utensils, you can create rations from the food found in the wilderness. During a night’s rest and if your group successfully gathered food for the day, you can make a Spirit + Survival roll. On a success, you create a number of units of rations up to your Survival, provided you have enough leftovers.(Rank 2) You gain the following abilities:- When you have to roll Survival to establish a camp, you gain +1 boon on the roll.- When you are attacked while resting, you can still roll Spirit + Perception to quickly wake up before the attack, but suffer +1 bane on the roll.(Rank 3) XXX"
